,English words/sentences,French words/sentences
1876,i need mine,necesito la mia
1877,i need them,los necesito
1878,i need this,necesito esto
1879,i need time,necesito tiempo
1880,i needed it,yo lo necesite
1881,i never win,yo nunca gano
1882,i often ski,voy a esquiar con frecuencia
1883,i overslept,me quede dormido
1884,i pay taxes,yo pago impuestos
1885,i read lips,leo labios
1886,i said stop,dije que alto
1887,i said stop,dije que pararas
1888,i said stop,dije que te detuvieras
1889,i said that,yo dije eso
1890,i saw a ufo,yo vi un ovni
1891,i saw a dog,vi a un perro
1892,i saw a dog,vi un perro
1893,i saw a dog,yo vi un perro
1894,i sell cars,vendo autos
1895,i should go,me deberia ir
1896,i smell gas,huelo a gas
1897,i smell gas,huelo gas
1898,i thank you,te lo agradezco
1899,i trust her,yo confio en ella
1900,i trust him,yo confio en el
1901,i trust you,confio en ti
1902,i want mine,quiero el mio
1903,i want mine,yo quiero el mio
1904,i want mine,yo quiero la mia
1905,i want more,quiero mas
1906,i want that,quiero eso
1907,i want them,los quiero
1908,i want them,las quiero
1909,i want this,quiero este
1910,i want this,quiero esto
1911,i was awake,estaba despierto
1912,i was bored,estaba aburrido
1913,i was dizzy,estaba mareado
1914,i was dizzy,estaba mareada
1915,i was drunk,estaba borracho
1916,i was fired,estaba despedido
1917,i was fired,me despidieron
1918,i was lucky,tuve suerte
1919,i was naive,yo era ingenuo
1920,i was naked,estaba desnudo
1921,i was right,yo tenia razon
1922,i was tired,estaba cansado
1923,i was wrong,estaba equivocado
1924,i went home,me fui a casa
1925,i went too,yo tambien fui
1926,i will wait,esperare
1927,i will work,voy a trabajar
1928,i won again,gane otra vez
1929,i wont ask,yo no preguntare
1930,i work here,trabajo aqui
1931,id ask tom,yo le preguntaria a tom
1932,ill change,cambiare
1933,ill try it,lo probare
1934,im too,yo tambien tengo anos
1935,im a baker,soy panadero
1936,im a loser,soy un perdedor
1937,im a loser,soy una perdedora
1938,im a woman,soy una mujer
1939,im a woman,soy mujer
1940,im at home,estoy en casa
1941,im at home,ya estoy en casa
1942,im at home,estoy en la casa
1943,im baffled,estoy desconcertado
1944,im cooking,estoy cocinando
1945,im curious,tengo curiosidad
1946,im dancing,estoy bailando
1947,im engaged,estoy comprometida
1948,im excited,estoy emocionado
1949,im excited,estoy emocionada
1950,im fasting,estoy ayunando
1951,im finicky,soy quisquilloso
1952,im healthy,estoy saludable
1953,im in jail,estoy en la carcel
1954,im in love,estoy enamorada
1955,im jittery,estoy nervioso
1956,im jittery,estoy inquieto
1957,im kidding,estoy jodiendo
1958,im leaving,me voy
1959,im married,estoy casado
1960,im married,estoy casada
1961,im married,soy casado
1962,im married,soy casada
1963,im nervous,estoy nervioso
1964,im neutral,soy neutral
1965,im no liar,no soy ningun mentiroso
1966,im not tom,no soy tom
1967,im not fat,no soy gorda
1968,im not fat,no estoy gorda
1969,im not old,no estoy viejo
1970,im not sad,no estoy triste
1971,im not shy,yo no soy timido
1972,im patient,soy paciente
1973,im psyched,estoy mentalizado
1974,im reading,estoy leyendo
1975,im resting,estoy descansando
1976,im selfish,soy egoista
1977,im serious,lo digo en serio
1978,im serious,hablo en serio
1979,im sloshed,estoy borracho
1980,im so full,estoy tan lleno
1981,im starved,me muero de hambre
1982,im starved,estoy muerto de hambre
1983,im through,he terminado
1984,im too fat,yo soy demasiado gordo
1985,im trapped,estoy atrapado
1986,im unlucky,tengo mala suerte
1987,im waiting,estoy esperando
1988,im working,estoy trabajando
1989,im worried,estoy preocupada
1990,ignore them,ignoralos
1991,is tom dead,tom esta muerto
1992,is tom done,ha acabado tom
1993,is tom good,tom es bueno
1994,is tom here,esta aqui tom
1995,is tom here,esta tom
1996,is tom home,tom esta en casa
1997,is tom home,esta tom en casa
1998,is tom hurt,tom esta herido
1999,is he right,esta el bien
2000,is he right,se encuentra bien
2001,is he right,ha acertado
2002,is he right,esta en lo cierto
2003,is he right,es lo que el dice
2004,is it there,esta ahi
2005,is it to go,para llevar
2006,is it windy,esta ventoso
2007,is it yours,es suyo
2008,is it yours,es vuestro
2009,is she nice,ella es simpatica
2010,is that tom,es ese tom
2011,is that all,es todo
2012,is that new,es eso nuevo
2013,is that you,eres tu
2014,is that you,es usted
2015,is this new,esto es nuevo
2016,it cant be,no puede ser
2017,it cost,costo dolares
2018,it happened,paso
2019,it happened,eso sucedio
2020,it is on me,yo invito
2021,it is there,esta ahi
2022,it may rain,puede que llueva
2023,it may snow,puede que nieve
2024,it may snow,podria nevar
2025,it may snow,es posible que nieve
2026,it saved me,me salvo
2027,it was cool,estuvo chido
2028,it was cool,estuvo chilo
2029,it was cool,estuvo padre
2030,it was easy,fue facil
2031,it was easy,era facil
2032,it was real,fue real
2033,its yen,son yenes
2034,its monday,es lunes
2035,its a doll,es una muneca
2036,its a fish,es un pez
2037,its a harp,es un arpa
2038,its a harp,esto es un harpa
2039,its a joke,es una broma
2040,its a mess,es un quilombo
2041,its a rule,es una normativa
2042,its a song,esto es una cancion
2043,its a vice,es un vicio
2044,its all ok,todo bien
2045,its boring,esto es aburrido
2046,its boring,es aburrido
2047,its broken,esta roto
2048,its broken,esta estropeado
2049,its broken,esta rota
2050,its chilly,hace fresco
2051,its chilly,se esta fresquito
2052,its chilly,hace un biruji que no veas
2053,its cloudy,esta nublado
2054,its futile,es inutil
2055,its my job,es mi trabajo
2056,its normal,es normal
2057,its not us,no somos nosotros
2058,its secret,es secreto
2059,just say no,solo di que no
2060,keep moving,sigue moviendote
2061,keep trying,sigue intentando
2062,let me help,dejame ayudarte
2063,let me help,dejame ayudar
2064,let me know,hazmelo saber
2065,let me live,dejame vivir
2066,lets begin,empecemos
2067,lets begin,comencemos
2068,lets dance,bailemos
2069,lets do it,hagamoslo
2070,lets do it,hagamoslo
2071,lets go in,entremos
2072,lets go up,vamos para arriba
2073,lets hurry,apuremonos
2074,lets leave,vayamonos
2075,lets party,vamos al guateque
2076,lets party,festejemos
2077,lets relax,relajemonos
2078,lets start,empecemos
2079,lets start,comencemos
2080,lets start,comencemos
2081,life is fun,la vida es divertida
2082,look at tom,mira a tom
2083,look at him,miralo
2084,look closer,mira desde mas cerca
2085,make a list,haz una lista
2086,make a list,hagan una lista
2087,make a wish,pide un deseo
2088,many thanks,muchas gracias
2089,memorize it,memorizalo
2090,memorize it,memorizala
2091,money talks,el dinero mueve el mundo
2092,money talks,poderoso caballero es don dinero
2093,nice timing,justo a tiempo
2094,nice timing,llegas bien
2095,nice timing,llegas a tiempo
2096,no means no,no significa no
2097,no means no,no significa no
2098,no one came,nadie vino
2099,no one came,no vino nadie
2100,no one came,ninguno acudio
2101,no one died,nadie murio
2102,no one died,no murio nadie
2103,nobody came,nadie vino
2104,nobody came,no vino nadie
2105,nobody came,no ha venido nadie
2106,nobody died,nadie murio
2107,nobody died,no murio nadie
2108,nobody knew,nadie lo sabia
2109,nobody lied,nadie mintio
2110,now im sad,ahora estoy triste
2111,now help me,ahora ayudame
2112,now hold on,ahora resiste
2113,now move on,ahora sigue
2114,now move on,ahora continua
2115,now move on,ahora prosigue
2116,now shut up,ahora callate
2117,ok i agree,bueno estoy de acuerdo
2118,one is blue,uno es azul
2119,please sing,canta por favor
2120,please stay,por favor quedate
2121,please stay,por favor quedate
2122,please stay,por favor quedense
2123,please stay,por favor quedese
2124,please stop,parate un momento
2125,please wait,espera un momento
2126,put it down,bajalo
2127,put this on,ponte esto
2128,put this on,pongase esto
2129,release him,liberale
2130,remember it,recuerdalo
2131,return fire,responded a sus disparos
2132,say goodbye,deci adios
2133,say nothing,no digas nada
2134,send him in,mandalo dentro
2135,send him in,mandelo dentro
2136,send him in,mandenlo dentro
2137,send him in,mandalo dentro
2138,send him in,mandalo adentro
2139,send him in,mandelo adentro
2140,send him in,mandenlo adentro
2141,send him in,mandalo adentro
2142,shall we go,nos vamos
2143,she bit him,ella lo mordio
2144,she hit him,ella le pego
2145,she hit him,ella le golpeo
2146,she is dead,ella esta muerta
2147,she is kind,ella es amable
2148,she is kind,ella es gentil
2149,she woke up,ella se desperto
2150,shes a fox,ella es una zorra
2151,shes crazy,ella esta loca
2152,should i go,deberia ir
2153,show me how,muestrame como
2154,sleep tight,que duermas bien
2155,speak to me,hablame
2156,stand aside,a un lado
2157,stand aside,dejad sitio
2158,start again,empieza de nuevo
2159,start again,empieza otra vez
2160,stick to it,sigue haciendolo
2161,stop crying,no llores
2162,stop crying,deja de llorar
2163,stop moving,no te muevas
2164,stop moving,quieto ahi
2165,stop moving,quedate quieto
2166,stop moving,no te muevas
2167,stop moving,deja de moverte
2168,stop trying,deja de intentarlo
2169,stop thief,alto ladron
2170,take a card,saque una carta
2171,take a card,saca una carta
2172,take a look,echa una ojeada
2173,take a rest,descansad
2174,take a rest,reposate
2175,take action,actua
2176,take my car,coge mi coche
2177,take my car,llevate mi coche
2178,talk to tom,habla con tom
2179,tea please,un te por favor
2180,that helped,eso ayudo
2181,that is all,ya esta
2182,that is all,es todo
2183,that worked,eso funciono
2184,thats dumb,eso es una tonteria
2185,thats easy,eso es facil
2186,thats fine,esta bien
2187,thats good,eso es bueno
2188,thats good,eso esta bien
2189,thats hers,es de ella
2190,thats hers,es suyo
2191,thats huge,eso es enorme
2192,thats life,esa es la vida
2193,thats life,asi es la vida
2194,thats mine,eso es mio
2195,thats mine,esa es mia
2196,thats mine,ese es mio
2197,thats nice,es agradable
2198,thats nice,esta bien
2199,thats nice,eso es bueno
2200,thats okay,eso esta correcto
2201,thats over,se acabo
2202,thats over,ya ha pasado
2203,thats them,ahi estan
2204,thats them,son ellos
2205,thats them,son esos
2206,thats true,eso es cierto
2207,thats true,eso es verdad
2208,the tvs on,la television esta encendida
2209,there it is,alla esta
2210,theres tom,ahi esta tom
2211,they burned,se quemaron
2212,they called,llamaron
2213,they danced,bailaron
2214,they did it,lo hicieron
2215,they did it,lo hicieron ellos
2216,they did it,ellos lo hicieron
2217,they did it,lo lograron
2218,they hugged,se abrazaron
2219,they kissed,se besaron
2220,they may go,puede que vayan
2221,they may go,quiza vayan
2222,they may go,tal vez vayan
2223,they obeyed,obedecieron
2224,they saw me,me vieron
2225,they saw me,me veian
2226,they smiled,sonrieron
2227,they waited,esperaron
2228,they walked,caminaron
2229,they walked,ellos caminaron
2230,they walked,pasearon
2231,they yelled,ellos gritaron
2232,theyre bad,son malos
2233,theyre bad,estan malos
2234,theyre new,son nuevos
2235,theyre new,estan nuevas
2236,theyre old,son viejos
2237,theyre old,son mayores
2238,theyre old,son ancianos
2239,theyre old,estan mayores
2240,think again,piensa de nuevo
2241,think again,piensalo otra vez
2242,this is tom,este es tom
2243,this is bad,eso es malo
2244,this is big,esto es grande
2245,this is his,esto es suyo
2246,this is his,esta es suya
2247,this is his,esto es de el
2248,this is ice,esto es hielo
2249,this stinks,esto apesta
2250,this stinks,esto es una mierda
2251,tom arrived,tom llego
2252,tom ate out,tom salio a comer
2253,tom blushed,tom se sonrojo
2254,tom changed,tom cambio
2255,tom changed,tom vario
2256,tom cheated,tomas hizo trampa
2257,tom cheered,tom fue el que vitoreo
2258,tom cheered,tom vitoreo
2259,tom clapped,tomas aplaudio
2260,tom crashed,tom tuvo un accidente
2261,tom crashed,tom se la pego
2262,tom crashed,tom se estrello
2263,tom decided,tom decidio
2264,tom drowned,tomas se ahogo
2265,tom escaped,tom escapo
2266,tom exhaled,tom espiro
2267,tom fainted,tom se desmayo
2268,tom giggled,tom solto una risita
2269,tom gloated,tom se regodeo
2270,tom grinned,tom sonrio
2271,tom groaned,tom gimio
2272,tom grunted,tom gruno
2273,tom has ocd,tom tiene doc
2274,tom inhaled,tom inhalo
2275,tom is bald,tom es calvo
2276,tom is bald,tom esta pelon
2277,tom is busy,tom esta ocupado
2278,tom is calm,tom esta tranquilo
2279,tom is dead,tom esta muerto
2280,tom is dead,tom ha muerto
2281,tom is evil,tom es malvado
2282,tom is full,tom esta lleno
2283,tom is full,tom esta satisfecho
2284,tom is here,tom esta aqui
2285,tom is hurt,tom esta herido
2286,tom is lazy,tom es perezoso
2287,tom is nice,tom es amable
2288,tom is poor,tomas es pobre
2289,tom is sick,tom esta enfermo
2290,tom is tall,tom es alto
2291,tom is tidy,tom es ordenado
2292,tom is weak,tom esta debil
2293,tom kneeled,tom se arrodillo
2294,tom laughed,tom se rio
2295,tom listens,tom escucha
2296,tom prepaid,tom pago por adelantado
2297,tom prepaid,tom pagaba por adelantado
2298,tom refused,tom se nego
2299,tom refused,tom se cerro en banda
2300,tom relaxed,tom se relajo
2301,tom relaxed,tom se relajaba
2302,tom shouted,tom grito
2303,tom slipped,tom se resbalo
2304,tom sneezed,tom estornudo
2305,tom teaches,tom ensena
2306,tom was old,tomas era mayor
2307,tom was sad,tom estaba triste
2308,tom was shy,tom era timido
2309,tom will go,tom ira
2310,tomll help,tom ayudara
2311,toms alert,tom esta alerta
2312,toms alive,tom esta vivo
2313,toms alone,tom esta solo
2314,toms angry,tom esta furioso
2315,toms awake,tom esta despierto
2316,toms bored,tom esta aburrido
2317,toms crazy,tom es loco
2318,toms drunk,tom esta borracho
2319,toms dying,tom se esta muriendo
2320,toms early,tom llega temprano
2321,toms flaky,tom esta hecho polvo
2322,toms funny,tom es alegre
2323,toms great,tom es estupendo
2324,toms lying,tom esta mintiendo
2325,toms right,tom tiene razon
2326,toms upset,tom esta disgustado
2327,toms young,tom es joven
2328,try that on,pruebate ese
2329,try this on,pruebate este
2330,turn it off,apagalo
2331,wait for me,esperame
2332,wait for me,espera por mi
2333,wait for us,espera por nosotros
2334,wait for us,esperanos
2335,wake tom up,despierta a tom
2336,wake him up,despertalo
2337,walk slowly,camina lentamente
2338,was i wrong,estaba equivocado
2339,was i wrong,estaba equivocada
2340,was it cold,hacia frio
2341,was it good,estuvo bueno
2342,we all work,todos trabajamos
2343,we are even,estamos a mano
2344,we are here,estamos aqui
2345,we ate eggs,comimos huevos
2346,we broke up,nos separamos
2347,we broke up,lo dejamos
2348,we broke up,rompimos
2349,we can help,podemos ayudar
2350,we can help,nosotros podemos ayudar
2351,we can meet,podemos encontrarnos
2352,we can meet,podemos vernos
2353,we can talk,podemos hablar
2354,we can wait,podemos esperar
2355,we got lost,nos perdimos
2356,we help tom,ayudamos a tom
2357,we help tom,nosotros ayudamos a tom
2358,we know why,sabemos por que
2359,we know why,conocemos el porque
2360,we know you,te conocemos
2361,we know you,os conocemos
2362,we know you,le conocemos a usted
2363,we know you,a ti te conocemos
2364,we like tom,tom nos gusta
2365,we like tom,queremos a tom
2366,we like him,el nos agrada
2367,we like you,nos gustas
2368,we love tom,amamos a tom
2369,we love you,te queremos
2370,we love you,os queremos
2371,we love you,te amamos
2372,we love you,os amamos
2373,we miss you,te extranamos
2374,we must act,hay que actuar
2375,we must run,tenemos que correr
2376,we need you,te necesitamos
2377,we promised,lo prometimos
2378,we remember,nos acordamos
2379,we remember,nos recordamos
2380,we sat down,nos sentamos
2381,we sat down,nos sentabamos
2382,we survived,sobrevivimos
2383,we want tom,queremos a tom
2384,we want one,queremos uno de esos
2385,well be ok,estaremos bien
2386,well do it,lo haremos
2387,well drive,nosotros conduciremos
2388,well fight,vamos a luchar
2389,well share,nosotros compartiremos
2390,well share,compartiremos
2391,were awake,estamos despiertos
2392,were bored,estamos aburridos
2393,were broke,estamos arruinados
2394,were broke,estamos sin un duro
2395,were broke,estamos a dos velas
2396,were clean,estamos limpios
2397,were going,nos vamos
2398,were going,vamos a ir
2399,were going,nosotros vamos a ir
2400,were happy,somos felices
2401,were ready,estamos listos
2402,were right,tenemos razon
2403,were sorry,lo sentimos
2404,were tired,estamos cansados
2405,were twins,somos gemelos
2406,were young,somos jovenes
2407,what a bore,que aburrimiento
2408,what a dope,que burro eres
2409,what a dope,que burro
2410,what a heel,que tipo tan arrastrado
2411,what a jerk,que pendejo
2412,what a jerk,que imbecil
2413,what a loss,que perdida
2414,what a mess,que desastre
2415,what a mess,que mugre
2416,what a mess,que confusion
2417,what a pain,que dolor
2418,what a pity,que lastima
2419,what a pity,que pena
2420,what a pity,que lastima
2421,what a team,que equipo
2422,what an ego,que ego
2423,what is art,que es el arte
2424,what is new,que hay de nuevo
2425,whats good,que esta bueno
2426,whats good,que esta bien
2427,whats this,que es esto
2428,where is he,donde esta el
2429,wheres tom,donde esta tom
2430,who are you,quienes sois
2431,who are you,quien sos
2432,who are you,quien es usted
2433,who cheated,quien hizo trampas
2434,who cheered,quien vitoreo
2435,who drew it,quien lo dibujo
2436,who escaped,quien escapo
2437,who hit you,quien te ha pegado
2438,who is next,quien es el siguiente
2439,who is that,quien es
2440,who is that,quien es ese
2441,who is that,quien es esa
2442,who said it,quien lo dijo
2443,who saw you,quien te vio
2444,wholl come,quien viene
2445,wholl cook,quien va a cocinar
2446,whos first,a quien le toca
2447,whos first,quien va primero
2448,whos first,quien es el primero
2449,whos going,quien va
2450,whos going,quien va a ir
2451,whos there,quien esta ahi
2452,whose is it,de quien es
2453,why is that,por que es eso
2454,why is that,por que pasa eso
2455,why is this,a que viene esto
2456,will you go,vas a ir
2457,will you go,iras
2458,will you go,va a ir
2459,write it up,escribelo
2460,write it up,ponlo por escrito
2461,yes i know,si lo se
2462,you are big,sos grande
2463,you are mad,estas loca
2464,you cheated,hiciste trampa
2465,you cheated,hizo trampa
2466,you cheated,hicisteis trampa
2467,you cheated,hicieron trampa
2468,you fainted,se desmayaron
2469,you fainted,te desmayaste
2470,you fainted,se desmayo
2471,you hurt me,me lastimas
2472,you keep it,quedatelo
2473,you know me,tu me conoces
2474,you know me,me conoces
2475,you know me,ya me conoces
2476,you made it,lo has hecho
2477,you made it,lo has conseguido
2478,you made it,lo habeis logrado
2479,you made it,lo han conseguido ustedes
2480,you need it,usted lo necesita
2481,you need it,lo necesitais
2482,you need it,lo necesitas
2483,you need us,nos necesitas
2484,you need us,nos necesitais
2485,you said it,asi exactamente asi
2486,youre back,estas de vuelta
2487,youre back,estas de regreso
2488,youre back,ya estas aqui
2489,youre back,ya has vuelto
2490,youre cool,sos un langa
2491,youre cute,sos hermosa
2492,youre fine,tu estas bien
2493,youre fine,usted esta bien
2494,youre fine,ustedes estan bien
2495,youre free,eres libre
2496,youre good,eres bueno
2497,youre good,sois buenos
2498,youre good,eres buena
2499,youre good,usted es buena
2500,youre here,estas aqui
2501,youre here,estais aqui
2502,youre late,estas retrasado
2503,youre mean,eres mala
2504,youre mean,eres mezquino
2505,youre mine,tu eres mio
2506,youre nice,eres simpatico
2507,youre nuts,estas loco
2508,youre nuts,estas chiflado
2509,youre rich,eres rico
2510,youre rich,sois ricos
2511,youre safe,estas a salvo
2512,youre sick,estas enfermo
2513,youre sick,estais enfermos
2514,youre sick,estas enfermo
2515,youre weak,estas debil
2516,abandon ship,abandonen la nave
2517,act your age,actua acorde a tu edad
2518,all is quiet,todo esta en calma
2519,all is quiet,todo esta en silencio
2520,all is still,todo esta en calma
2521,am i invited,estoy invitado
2522,anybody home,hay alguien en casa
2523,anybody hurt,alguien esta herido
2524,anything new,nada nuevo
2525,are we broke,estamos arruinados
2526,are you bald,estas tu calvo
2527,are you bald,eres calvo
2528,are you busy,estas ocupado
2529,are you busy,esta usted ocupado
2530,are you busy,esta usted ocupada
2531,are you cold,tienes frio
2532,are you dead,estas muerto
2533,are you deaf,eres sordo
2534,are you deaf,acaso eres sordo
2535,are you free,estas libre
2536,are you full,estas lleno
2537,are you here,estas aqui
2538,are you here,estais aqui
2539,are you home,estas en casa
2540,are you home,estais en casa
2541,are you hurt,estas herida
2542,are you lost,te has perdido
2543,are you lost,os habeis perdido
2544,are you lost,estas perdido
2545,are you nuts,estas loco
2546,are you okay,estas bien
2547,are you okay,tu estas bien
2548,are you okay,te encuentras bien
2549,are you rich,usted es rico
2550,are you sick,estas enfermo
2551,are you sure,estas seguro
2552,are you sure,esta segura
2553,are you sure,esta seguro
2554,are you sure,estan seguros
2555,are you well,estas bien
2556,ask mary out,invita a salir a mary
2557,be attentive,estar atento
2558,be confident,se confiado
2559,be confident,estate seguro de ti mismo
2560,be confident,ten confianza
2561,be confident,confia en ti mismo
2562,be confident,ten seguridad
2563,be merciless,se despiadado
2564,be objective,se objetivo
2565,be objective,sea objetivo
2566,be objective,sean objetivos
2567,be realistic,se realista
2568,bear with me,ten paciencia conmigo
2569,bear with me,se paciente conmigo
2570,beef please,ternera por favor
2571,boil one egg,hierve un huevo
2572,bring backup,traed tropas de apoyo
2573,bring him in,hazle pasar
2574,bring my hat,trae mi sombrero
2575,call the fbi,llama al fbi
2576,can i try it,puedo intentar
2577,can he do it,puede hacerlo
2578,can you come,puedes venir
2579,can you help,puedes ayudar
2580,can you read,puedes leer
2581,can you swim,sabes nadar
2582,can you walk,puedes caminar
2583,can you walk,puedes andar
2584,can you walk,podeis andar
2585,check around,revisa a nuestro alrededor
2586,check around,revisa en los alrededores
2587,check it out,echale un vistazo
2588,check it out,miralo
2589,check it out,compruebalo
2590,come and see,venid y mirad
2591,come and see,ven y mira
2592,come anytime,ven cuando quieras
2593,come anytime,ven alguna vez
2594,come at once,ven enseguida
2595,come forward,acercate
2596,come help me,ven a ayudarme
2597,come help me,ven a echarme una mano
2598,come on back,regresa
2599,come on down,baja
2600,come on down,baje
2601,come on home,vuelve a casa
2602,come outside,sal fuera
2603,come quickly,ven rapido
2604,come up here,sube aqui
2605,come up here,subid aqui
2606,come up here,suba aqui
2607,come up here,suban aqui
2608,come up here,ven aqui arriba
2609,come up here,venid aqui arriba
2610,come with me,venga conmigo
2611,come with me,venios
2612,come with me,vengase
2613,come with us,ven con nosotras
2614,come with us,venga con nosotros
2615,come with us,venid con nosotros
2616,come with us,venios
2617,come with us,vengase
2618,cool it down,enfrialo
2619,describe tom,describilo a tomas
2620,describe tom,describelo a tomas
2621,describe tom,describalo a tomas
2622,did tom call,ha llamado tom
2623,did tom come,vino tom
2624,did tom help,tom ayudo
2625,did tom know,tom sabia
2626,did you call,llamaste
2627,did you help,ayudaste
2628,did you sign,firmaste
2629,did you sign,firmaron
2630,do i look ok,luzco bien
2631,do i look ok,me veo bien
2632,do it monday,hazlo el lunes
2633,do it for me,hagalo por mi
2634,do it for me,hacelo por mi
2635,do they know,lo saben
2636,do they know,lo conocen
2637,do you drink,bebes
2638,do you drink,bebeis
2639,do you drink,bebe usted
2640,do you smoke,usted fuma
2641,do you smoke,fumas
2642,do you snore,usted ronca
2643,do you snore,tu roncas
2644,does it hurt,duele
2645,does it show,se nota
2646,does it work,funciona
2647,does it work,funciona eso
2648,dont be sad,no estes triste
2649,dont be shy,no sea timido
2650,dont be shy,no seas timido
2651,dont be shy,no seas timida
2652,dont be shy,no tengas pena
2653,dont let go,no te sueltes
2654,dont ramble,no divagues
2655,dont scream,no grites
2656,dont try me,no me tientes
2657,drive faster,conduce mas rapido
2658,drive safely,conduzca con cuidado
2659,drive slowly,conduce lentamente
2660,examine this,examina esto
2661,examine this,examine esto
2662,examine this,examina esto
2663,examine this,examinad esto
2664,examine this,examinen esto
2665,fight or die,lucha o muere
2666,find the cat,encuentra al gato
2667,find the cat,encuentren al gato
2668,get the book,trae el libro
2669,get the book,consigue el libro
2670,get the book,recoge el libro
2671,get the book,traiga el libro
2672,get the book,recoja el libro
2673,get upstairs,anda para arriba
2674,ghosts exist,los fantasmas existen
2675,give me half,dame la mitad
2676,give me half,deme la mitad
2677,give me half,denme la mitad
2678,give me half,dadme la mitad
2679,give me that,dame eso
2680,give me time,dame tiempo
2681,give me time,denme tiempo
2682,give me time,deme tiempo
2683,go back home,devuelvete a la casa
2684,go on inside,entra
2685,go on inside,ve adentro
2686,go to school,vete a la escuela
2687,good for you,bien por ti
2688,good morning,buenos dias
2689,hang on tom,espera tom
2690,happy easter,feliz pascua
2691,happy easter,feliz pascua
2692,has she come,ha venido
2693,have a donut,toma una rosquilla
2694,have a donut,comete una rosquilla
2695,have a drink,ten un trago
2696,have a drink,tomate algo
2697,have a snack,come botana
2698,have another,toma otro
2699,have another,toma otra
2700,have another,toma otra
2701,have another,toma otro
2702,have another,tome otro
2703,have another,tome otra
2704,have courage,se valiente
2705,have courage,sed valientes
2706,he avoids me,el me evita
2707,he cried out,el grito
2708,he denied it,el lo nego
2709,he dozed off,se quedo dormido
2710,he got angry,el se enfado
2711,he had a dog,el tenia un perro
2712,he has a dog,el tiene un perro
2713,he has a dog,tiene un perro
2714,he helps her,la ayuda
2715,he is french,es frances
2716,he is cranky,esta enfadado
2717,he is cranky,esta de morros
2718,he is driven,el esta motivado
2719,he is eating,esta comiendo
2720,he is not in,no esta aqui
2721,he is not in,el no esta dentro
2722,he kicked it,el lo pateo
2723,he let me go,me dejo ir
2724,he let me go,dejo que me fuera
2725,he let us go,nos dejo irnos
2726,he let us go,dejo que nos fueramos
2727,he likes tea,le gusta el te
2728,he likes tea,a el le gusta el te
2729,he lost face,el fue humillado
2730,he lost face,el quedo mal
2731,he lost face,el perdio prestigio
2732,he loved her,el la queria
2733,he loves her,el la quiere
2734,he runs fast,corre rapido
2735,he seems ill,el se ve enfermo
2736,he was alone,el estaba solo
2737,he was brave,el era valiente
2738,he was naive,el era ingenuo
2739,he was wrong,el estaba equivocado
2740,he will wait,esperara
2741,he will walk,va a caminar
2742,hes a bigot,es un fanatico
2743,hes a ninja,el es ninja
2744,hes dieting,el esta a dieta
2745,hes in pain,esta sufriendo
2746,hes jealous,el es celoso
2747,hes my hero,el es mi heroe
2748,hes out now,el no esta aqui ahora
2749,hes so cute,el es tan lindo
2750,hes so cute,el es tan bonito
2751,help tom out,ayuda a tom
2752,help tom out,ayudale a tom
2753,here you are,aqui tienes
2754,here you are,aqui estas
2755,here you are,al fin te encuentro
2756,here you are,toma
2757,here you are,coge
2758,heres a pen,aqui tienes un boligrafo
2759,heres a pen,toma un boli
2760,hey wait up,oye aguarda
2761,how annoying,no hay quien lo aguante
2762,how annoying,que rollo
2763,how annoying,que pesado
2764,how annoying,que incordio
2765,how annoying,que hincha pelotas
2766,how arrogant,que arrogante
2767,how dare you,como te atreves
2768,how horrible,que horrible
2769,how romantic,que romantico
2770,hows school,como te va en el colegio
2771,hows school,como es la escuela
2772,hows school,que tal la escuela
2773,i admire tom,admiro a tom
2774,i admire you,te admiro
2775,i am chinese,soy chino
2776,i am a woman,soy una mujer
2777,i am at home,estoy en casa
2778,i am at home,ya estoy en casa
2779,i am baffled,estoy confuso
2780,i am curious,tengo curiosidad
2781,i am curious,quiero saberlo
2782,i am injured,estoy lesionado
2783,i am married,estoy casado
2784,i am married,estoy casada
2785,i am praying,estoy rezando
2786,i am working,estoy trabajando
2787,i apologized,me disculpe
2788,i ate apples,comi manzanas
2789,i ate apples,yo comi manzanas
2790,i ate caviar,comi caviar
2791,i bit my lip,me mordi el labio
2792,i called tom,llame a tom
2793,i can fix it,yo puedo arreglarlo
2794,i cant cook,no se cocinar
2795,i cant help,yo no puedo ayudar
2796,i cant move,no me puedo mover
2797,i cant sing,no puedo cantar
2798,i cant stay,no me puedo quedar
2799,i cant stop,no puedo parar
2800,i cant swim,no se nadar
2801,i cant talk,no puedo hablar
2802,i cant walk,no puedo caminar
2803,i could walk,podria caminar
2804,i cut myself,me corto
2805,i cut myself,me corte
2806,i cut myself,me he cortado
2807,i detest tom,detesto a tom
2808,i did my job,hice mi trabajo
2809,i did see it,yo lo vi
2810,i didnt ask,yo no pregunte
2811,i didnt lie,no menti
2812,i didnt pay,no pague
2813,i do want it,si que lo quiero
2814,i dont care,no me importa
2815,i dont care,me chupa un huevo
2816,i dont know,no se
2817,i dont know,no lo se
2818,i dont know,lo desconozco
2819,i dont mind,no me importa
2820,i dont sing,yo no canto
2821,i drank milk,tome leche
2822,i drank milk,he bebido leche
2823,i eat cheese,yo como queso
2824,i feel alive,me siento vivo
2825,i feel alive,me siento viva
2826,i feel faint,me siento debil
2827,i feel great,me siento genial
